Name,Category,Neighborhood,Address,Link,Google Maps,From Conference Center,Why it is good,Dietary notes,Tips,Latitude,Longitude
Kobe International Conference Center,Conference Venue,Port Island,"6-9-1 Minatojima-nakamachi, Chuo-ku, Kobe-shi, Hyogo 650-0046, Japan",https://www.kobe-cc.jp,https://maps.google.com/maps?q=6-9-1+Minatojima-nakamachi%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0046%2C+Japan,Conference venue,W3C TPAC 2025 conference location,Conference catering available,Main venue for all TPAC sessions,34.6584,135.2233
Kobe Portopia Hotel,Hotel,Port Island,"6-10-1 Minatojima-nakamachi, Chuo Ward, Kobe, Hyogo 650-0046, Japan",https://www.portopia.co.jp,,~2 min walk,Official TPAC 2025 hotel with premium amenities and conference facilities,Multiple restaurants with various dietary options,Connected to conference center - premium conference hotel,34.6580,135.2210
Ariston Hotel,Hotel,Port Island,"6 Chome-1 Minatojima Nakamachi, Chuo Ward, Kobe, Hyogo 650-0046, Japan",,,~5 min walk,Official TPAC 2025 hotel option in Port Island,Hotel restaurant and room service available,Close to conference venue,34.6575,135.2240
Centurion Hotel & Spa Vintage Kobe,Hotel,Port Island,"1 Chome-1-6 Minatojima, Chuo Ward, Kobe, Hyogo 650-0045, Japan",,,~8 min walk,Official TPAC 2025 hotel with spa facilities,Hotel dining options available,Spa facilities for conference relaxation,34.6570,135.2200
Soutetsu Fresa Inn Kobe-Sannomiya,Hotel,Sannomiya,"5 Chome-2-3 Asahidori, Chuo Ward, Kobe, Hyogo 651-0095, Japan",,,~15 min via Port Liner,Official TPAC 2025 hotel in central Sannomiya district,Breakfast available - near many restaurants,Central location with easy transport to venue,34.6930,135.1960
Kobe Luminous Hotel Sannomiya,Hotel,Sannomiya,"92 Edomachi, Chuo Ward, Kobe, Hyogo 650-0033, Japan",,,~15 min via Port Liner,Official TPAC 2025 hotel in downtown Kobe,Hotel amenities and nearby dining,Downtown location with shopping and dining,34.6920,135.1940
Hotel SUI Kobe Sannomiya by ABEST,Hotel,Nakayamate,"2 Chome-1-20 Nakayamatedori, Chuo Ward, Kobe, Hyogo 650-0004, Japan",,,~12 min taxi or 45 min walk,Official TPAC 2025 hotel in historic foreign district,Hotel restaurant and room service,Located in atmospheric Nakayamate district,34.7000,135.1920
Hotel Monterey Kobe,Hotel,Central Kobe,"2 Chome-11-13 Shimoyamatedori, Chuo Ward, Kobe, Hyogo 650-0011, Japan",,,~8 min taxi or 30 min walk,Official TPAC 2025 hotel with classic European style,Hotel dining and bar facilities,Classic hotel with traditional service,34.6930,135.1935
Bifteck Kawamura Sannomiya,Kobe Beef,Sannomiya,"4 Chome-5-13 Kanocho, Chuo Ward, Kobe, Hyogo 650-0001, Japan",https://www.bifteck.co.jp/restaurant/sannomiya-main/,https://maps.google.com/maps?q=4+Chome-5-13+Kanocho%2C+Chuo+Ward%2C+Kobe%2C+Hyogo+650-0001%2C+Japan,~8 min taxi or 35 min walk,World's finest Kobe beef restaurant - Chef Kawamura personally selects each A5 grade cut,Limited vegetarian options - primarily beef focused,Reservations essential weeks in advance - budget ¥20000-30000+ per person,34.6937,135.1955
Steak Misono,Kobe Beef,Sannomiya,"1-1-2 Shimoname-dori, Chuo-ku, Kobe-shi, Hyogo 650-0011, Japan",https://www.misono.org,https://maps.google.com/maps?q=1-1-2+Shimoname-dori%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0011%2C+Japan,~15 min via Port Liner,Birthplace of teppanyaki - authentic Kobe beef with historic atmosphere and show cooking,Good seafood and vegetarian options available,Budget ¥8000-15000 per person - lunch sets offer better value than dinner,34.6925,135.1933
Mouriya Honten,Kobe Beef,Sannomiya,"2-1-17 Shimoname-dori, Chuo-ku, Kobe-shi, Hyogo 650-0011, Japan",,https://maps.google.com/maps?q=2-1-17+Shimoname-dori%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0011%2C+Japan,~15 min via Port Liner,Historic steakhouse since 1885 - pioneers of Kobe beef with traditional atmosphere,Excellent seafood options and vegetarian dishes available,Lunch sets excellent value ¥3000-8000 vs dinner ¥10000+ - try the sirloin,34.6926,135.1931
Ganko Ramen,Ramen,Sannomiya,"Sannomiya Center Gai, Chuo-ku, Kobe-shi, Hyogo, Japan",,https://maps.google.com/maps?q=Ganko+Ramen+Sannomiya+Kobe,~15 min via Port Liner,Authentic tonkotsu ramen with 12+ hour slow-cooked broth - perfect comfort food,Some vegetarian broth options and chicken-based ramen available,Quick service perfect for conference breaks - order at vending machine with pictures,34.6937,135.1955
Sake Bar Yamashina,Sake Bar,Sannomiya,"Sannomiya area, Chuo-ku, Kobe-shi, Hyogo, Japan",,https://maps.google.com/maps?q=Sake+Bar+Sannomiya+Kobe,~15 min via Port Liner,Local Nada district sake with expert guidance - perfect for networking and cultural immersion,Traditional izakaya dishes complement sake perfectly,Start early before 20:00 - let staff guide sake selection - pour for others not yourself,34.6943,135.1960
Kobe Port Tower,Attraction,Meriken Park,"5-5 Hatobacho, Chuo-ku, Kobe-shi, Hyogo 650-0042, Japan",https://www.kobe-port-tower.com,https://maps.google.com/maps?q=5-5+Hatobacho%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0042%2C+Japan,~5 min walk,Iconic red tower with 360-degree harbor views - perfect conference break spot,Cafe and restaurant options available at base,Open 9:00-21:00 - ¥700 admission - less crowded in morning,34.6822,135.1879
Meriken Park,Park,Port Island,"Hatobacho, Chuo-ku, Kobe-shi, Hyogo 650-0042, Japan",,https://maps.google.com/maps?q=Meriken+Park+Kobe,~8 min walk,Beautiful waterfront park perfect for morning jogs walking meetings and evening decompression,Convenience stores and restaurants nearby,Free and open 24/7 - best times early morning or evening - can be windy near harbor,34.6828,135.1885
Sannomiya District,District,Central Kobe,"Sannomiya Station area, Chuo-ku, Kobe-shi, Hyogo",,https://maps.google.com/maps?q=Sannomiya+Station+Kobe,13 min via Port Liner,Main commercial hub with dining and shopping - highest concentration of restaurants and bars,Every type of cuisine available from street food to fine dining,Get Port Liner day pass - peak dinner 19:00-21:00 so go earlier or later,34.6937,135.1955
Kitano Foreign District,Historic Attraction,Kitano,"Kitano-cho, Chuo-ku, Kobe-shi, Hyogo",,https://maps.google.com/maps?q=Kitano+Foreign+District+Kobe,~15 min taxi or 50 min walk,Historic Western-style houses from 1800s with stunning harbor views,Cafes and restaurants throughout district,Perfect afternoon conference break - comfortable shoes for hillside walking,34.7020,135.1928
SAKU,Japanese Restaurant,Port Island,"6-10-1 Minatojima Nakamachi, Chuo Ward, Kobe, Hyogo 650-0046, Japan",https://www.portopia.co.jp/restaurant/detail/saku/,https://maps.app.goo.gl/3J3nBAoiUN6pAwyh8,~3 min walk,High-end Japanese dining in Portopia Hotel with fresh seasonal ingredients,Can accommodate dietary restrictions with advance notice,Hotel location offers refined atmosphere - reservations recommended,34.6580,135.2210
Teppanyaki Grill Tajima,Teppanyaki,Port Island,"6-10-1 Minatojima Nakamachi, Chuo Ward, Kobe, Hyogo 650-0046, Japan",https://www.portopia.co.jp/restaurant/detail/tajima/,https://maps.app.goo.gl/Bmh5tgqWVo4ZVPPJ6,~3 min walk,Premium teppanyaki experience in Portopia Hotel with Kobe beef specialties,Excellent seafood and vegetarian teppanyaki options,Hotel setting perfect for business entertainment - watch skilled chefs at work,34.6580,135.2210
Seafood Dining 1932,Seafood Restaurant,Port Island,"1-1-6 Minatojima, Chuo Ward, Kobe, Hyogo 650-0045, Japan",https://seafood-dining-1932.com/,https://maps.app.goo.gl/zpbjvXkHWt3ZkZG99,~8 min walk,Fresh seafood dining on 9th floor with harbor views from Centurion Hotel,Excellent variety of fresh fish and seafood preparations,Harbor views enhance dining experience - good for sunset dinners,34.6570,135.2200
Gennaio,Italian Restaurant,Nakayamate,"1-7-20 Nakayamatedori, Chuo Ward, Kobe, Hyogo 650-0004, Japan",https://yoyaku-gennaio0117.com/,https://maps.app.goo.gl/iv3spMB3kjAz3taHA,~12 min taxi or 45 min walk,Authentic Italian cuisine in historic foreign district with traditional preparations,Italian menu can accommodate various dietary needs,Located in atmospheric foreign district - perfect for romantic or business dinners,34.7000,135.1920
Kakurega Sakaba MIA,Sake Bar,Kitanagasa,"2-11-6 Kitanagasadori, Chuo Ward, Kobe, Hyogo 650-0012, Japan",https://www.instagram.com/mia_kobe_sannomiya,https://maps.app.goo.gl/kJbcDuzHEwasWz2P7,~8 min taxi or 30 min walk,Hidden sake bar with extensive selection and authentic izakaya atmosphere,Traditional izakaya dishes complement sake perfectly,Hidden location adds to authentic experience - follow Instagram for updates,34.6935,135.1950
Sushi to shi,Sushi Restaurant,Nakayamate,"3-2-2 Nakayamatedori, Chuo Ward, Kobe, Hyogo 650-0004, Japan",https://yoyaku-sushi-toshi.com/,https://maps.app.goo.gl/bQNEDjNq9FvFyXmo7,~12 min taxi or 45 min walk,High-quality sushi restaurant with fresh local fish and traditional preparations,Fresh fish preparations with some vegetarian options available,Reservations essential - omakase course recommended for authentic experience,34.7010,135.1925
Sushi Restaurant Juraku,Sushi Restaurant,Central Kobe,"2-16-2 Shimoyamatedori, Chuo Ward, Kobe, Hyogo 650-0011, Japan",https://juraku.rwop.jp/,https://maps.app.goo.gl/1wyRnr9NLtQQsMws9,~8 min taxi or 30 min walk,Traditional sushi restaurant with skilled chef and fresh daily selections,Focus on fresh fish but can accommodate some dietary preferences,Intimate counter seating provides authentic sushi experience - try chef's recommendations,34.6930,135.1935
Minatoken Sannomiya Kokashita,Ramen,Kitanagasa,"1-31-35 Kitanagasadori, Chuo Ward, Kobe, Hyogo 650-0012, Japan",https://minatokensannomiyakoukashita.foodre.jp/,https://maps.app.goo.gl/s22Dsifx4XcT8JK76,~8 min taxi or 30 min walk,Popular underground ramen shop known for rich tonkotsu broth and authentic atmosphere,Limited vegetarian options - traditional pork-based broth,Underground location adds authentic ramen experience - expect queues during peak hours,34.6940,135.1950
Ramen Ichiren,Ramen,Nakayamate,"1-6-20 Nakayamatedori, Chuo Ward, Kobe, Hyogo 650-0004, Japan",https://www.instagram.com/chukasoba_ichiren,https://maps.app.goo.gl/6RjjufwswsdcJt8w7,~12 min taxi or 45 min walk,Chuka soba specialist with refined clear broth and high-quality ingredients,Some lighter broth options available,Instagram-worthy presentation - 2nd floor location - reservations recommended,34.7005,135.1920
Mendo Shuhari Sannomiya,Ramen,Sannomiya,"2-11-27 Sannomiyacho, Chuo Ward, Kobe, Hyogo 650-0021, Japan",https://tabelog.com/hyogo/A2801/A280101/28065286/,https://maps.app.goo.gl/PvHMeP3XJnQ3VdJN9,~8 min taxi or 25 min walk,Artisanal ramen with focus on premium ingredients and refined techniques,Varied menu with different broth styles including vegetarian options,Located in shopping center - modern approach to traditional ramen - highly rated,34.6945,135.1965
Starbucks Reserve Kobe,Coffee Shop,Meriken Park,"2-2 Higashikawasakicho 1-chome, Chuo-ku, Kobe-shi, Hyogo 650-0044, Japan",,https://maps.google.com/maps?q=2-2+Higashikawasakicho+1-chome%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0044%2C+Japan,~10 min walk,Premium Starbucks Reserve with coffee roasting theater and harbor views,Premium pastries and light meals available,Peak times 11:00-14:00 - outdoor seating has best harbor views,34.6820,135.1883
UCC Coffee Museum Cafe,Coffee Shop,Port Island,"6-6-2 Minatojima-nakamachi, Chuo-ku, Kobe-shi, Hyogo 650-0046, Japan",,https://maps.google.com/maps?q=6-6-2+Minatojima-nakamachi%2C+Chuo-ku%2C+Kobe-shi%2C+Hyogo+650-0046%2C+Japan,~12 min walk,Japanese coffee culture education with expert preparation and museum,Light snacks and traditional Japanese coffee preparations,Quiet atmosphere perfect for calls - museum adds cultural value,34.6590,135.2240
The Old England,British Pub,Nakayamate,"1-13-7 Nakayamatedori, Chuo Ward, Kobe, Hyogo 650-0004, Japan",https://old-england.bar/food,https://maps.app.goo.gl/xB1nfbcFHk5MJVvW6,~12 min taxi or 45 min walk,Authentic British pub culture with genuine British food in historic foreign district,Traditional pub food - fish and chips bangers and mash,English-speaking staff - cash preferred - call ahead for larger groups,34.7005,135.1913
Jesus Pizza,Pizza,Nakayamate,"2-18-8 Nakayamatedori, Chuo Ward, Kobe, Hyogo 650-0004, Japan",https://instagram.com/jesuspizzakobe,https://maps.app.goo.gl/2JapHiMLNvZaF4Ks9,~12 min taxi or 45 min walk,Beloved local pizza spot with creative combinations and casual atmosphere,Vegetarian options available - can modify for dietary needs,Lunch rush 12:00-13:30 arrive early or later - group orders call ahead,34.7000,135.1920